Company,TypeName,Ram,Weight,TouchScreen,IPS,PPI,HDD,SSD,Price
Dell,Ultrabook,8,1.21,0,1,165.6321181,0,256,87858.72
Asus,Gaming,8,2.45,0,0,141.2119981,1000,0,37242.72
Acer,Notebook,8,2.2,0,0,141.2119981,1000,0,36709.92
HP,Notebook,16,1.49,0,0,165.6321181,0,512,63776.16
Dell,Gaming,8,2.65,0,0,141.2119981,0,256,63669.6
Asus,Ultrabook,8,1.25,0,0,157.3505121,0,256,55890.72
Acer,2 in 1 Convertible,8,1.5,1,1,165.6321181,0,256,45128.16
Dell,Notebook,8,2.2,0,0,141.2119981,1000,0,31962.672
Dell,Notebook,4,2.2,0,0,141.2119981,0,256,25840.8
Asus,Notebook,6,2.0,0,0,141.2119981,0,256,30742.56
HP,Gaming,12,2.62,0,1,141.2119981,1000,128,66546.72
HP,Notebook,8,1.91,0,0,141.2119981,0,256,38308.32
HP,Notebook,4,2.1,0,0,141.2119981,500,0,18594.72
Dell,Notebook,8,2.2,0,0,141.2119981,1000,0,34472.16
HP,Ultrabook,8,1.38,0,1,165.6321181,0,256,59620.32
Microsoft,Ultrabook,8,1.252,1,0,200.8425599,0,256,71395.2
HP,Notebook,6,1.58,0,1,157.3505121,0,256,35111.52
Lenovo,Notebook,4,1.85,0,0,141.2119981,1000,0,22105.872
Asus,Ultrabook,8,1.3,0,1,157.3505121,0,256,63563.04
MSI,Gaming,16,2.2,0,0,141.2119981,1000,256,69210.72
Lenovo,Notebook,8,1.58,0,1,157.3505121,0,256,78854.4
Asus,Ultrabook,16,1.5,0,0,141.2119981,1000,256,67239.36
Dell,Ultrabook,8,1.23,1,0,276.0535301,0,256,73473.12
Lenovo,2 in 1 Convertible,8,1.37,1,1,165.6321181,0,256,74538.72
HP,Notebook,4,1.63,0,1,111.9352036,500,0,38468.16
Dell,Ultrabook,8,1.21,0,1,165.6321181,0,256,86793.12
HP,2 in 1 Convertible,8,1.26,1,1,165.6321181,0,256,74538.1872
HP,Notebook,8,1.63,0,0,157.3505121,0,512,57755.52
Dell,Notebook,8,2.16,0,1,141.2119981,1000,256,60223.9824
Asus,Notebook,4,2.0,0,0,127.3356746,1000,0,30049.92
Asus,Notebook,8,1.7,0,0,141.2119981,0,256,59567.04
Acer,Notebook,6,2.1,1,1,141.2119981,1000,0,25521.12
MSI,Gaming,16,1.8,0,0,141.2119981,2000,256,119427.12
Lenovo,Notebook,8,2.2,0,0,141.2119981,0,256,33513.12
